"id","address","name","symbol","logoURI","coingeckoId"
"35","CgnTSoL3DgY9SFHxcLj6CgCgKKoTBr6tp4CPAEWy25DE","Cogent SOL","cgntSOL","https://cogent-cogs.s3.us-west-2.amazonaws.com/cgntSOL.png","cogent-sol"
"36","pumpkinsEq8xENVZE6QgTS93EN4r9iKvNxNALS1ooyp","pumpkinSOL","pumpkinSOL","https://raw.githubusercontent.com/bartenbach/pumpkins_pool/main/assets/img/pumpkintoken.png","pumpkin-staked-sol"
"37","phaseZSfPxTDBpiVb96H4XFSD8xHeHxZre5HerehBJG","Phase Labs SOL","phaseSOL","https://raw.githubusercontent.com/phaselabscrypto/.github/main/profile/public/phaseSOL.png","phase-labs-staked-sol"
"38","BgYgFYq4A9a2o5S1QbWkmYVFBh7LBQL8YvugdhieFg38","Juicing Jupiter SOL","jjupSOL","https://arweave.net/vmJI1aPZNfTTIWH7ZLFxBP1VK7ptapg1hBukoDDNPME",""
"39","BANXyWgPpa519e2MtQF1ecRbKYKKDMXPF1dyBxUq9NQG","banxSOL","banxSOL","https://arweave.net/3ryTeptAwpdI57CnL1tfitjnitj2s6P_A_m2RiARE7M",""
"40","iceSdwqztAQFuH6En49HWwMxwthKMnGzLFQcMN3Bqhj","iceSOL","iceSOL","https://arweave.net/vIJdshKQBC9cE8V190WgRhYqdjb8HhUJAMmP69gvAFI",""
"41","st8QujHLPsX3d6HG9uQg9kJ91jFxUgruwsb1hyYXSNd","stakeSOL","stakeSOL","https://arweave.net/C2P2vlj4GZF1ZfAj5GV7B7cvpvdiz2tDEwh6hOfml_o","stake-city-staked-sol"
"42","fpSoL8EJ7UA5yJxFKWk1MFiWi35w8CbH36G5B9d7DsV","FP SOL","fpSOL","https://raw.githubusercontent.com/igneous-labs/lst-offchain-metadata/master/fpSOL/fpSOL.jpg",""
"43","ThUGsoLWtoTCfb24AmQTKDVjTTUBbNrUrozupJeyPsy","ThugBirdz Staked SOL","thugSOL","https://arweave.net/lFp33D_hlhWgsS92TQxGkSN6pJlqA5CGqiSNy0F0_dk",""
"44","WensoLXxZJnev2YvihHFchn1dVVFnFLYvgomXWvvwRu","Wen Staked SOL","WenSOL","https://arweave.net/PC0rwwND3JVNov_Y3Y5CY-Z0CF9sauZ2RkF_N0IzuzQ",""
